Won-seok Heo iš komandos SSW
Winneche Jacob iš komandos Liquid
Wang Vincent iš komandos TeamSoloMid
Toledo Gabriel iš komandos SK
Szkudlarek Mateusz iš komandos Fnatic
Sun-gu Kang iš komandos SKT1
Se-hoon Byun iš komandos SSW
Se-hyoun Cho iš komandos SSW
Sang-hyeok Lee iš komandos SKT1
Pessoa Epitacio iš komandos SK
Peng Yiliang iš komandos TeamSoloMid
Marzano Joshua iš komandos Liquid
Martin Spencer iš komandos Liquid
Lau Lincoln iš komandos SK
Larsson Martin iš komandos Fnatic
Kim Bora iš komandos Fnatic
Jun-sik Bae iš komandos SKT1
Johnsen Dennis iš komandos TeamSoloMid
Jae-wan Lee iš komandos SKT1
Jablonowski Jonathan iš komandos Liquid
In-kyu Choi iš komandos SSW
Yarnell Kevin iš komandos TeamSoloMid
Ho-Seong Lee iš komandos SKT1
Hyeong-seok Jang iš komandos SSW
Diepstraten Fabian iš komandos Fnatic
David Marcelo iš komandos SK
Da-yoon Lee iš komandos Fnatic
Cannella Nicholas iš komandos Liquid
Bjerg Soren iš komandos TeamSoloMid
Alvarenga Fernando iš komandos SK
